Company,Location,Sector,About,Amount,Stage,Funding Year
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian ecommerce industry,36000000.0,Mid Stage,2019
Stanza Living,New Delhi,Accomodation,Provides comfortable and secure accomodation for students,5700000.0,SaaS,2019
Pibeam,Chennai,Automotive Tech,It is engaged in building sustainable and affordable micromobility electric vehicles,50000000.0,nan,2019
Euler Motors,New Delhi,Automotive Tech,It is offering mobility as a service,2000000.0,Early Stage,2019
Moms Co,New Delhi,E-Commerce,It is into mother and baby carefocused consumer goods,5000000.0,Mid Stage,2019
Cubical Labs,New Delhi,Iot,Home automation solution provider,0.0,Mid Stage,2019
Lawyered,New Delhi,Legal Tech,It helps to connect to legal advise online,100000.0,Early Stage,2019
Cuemath,Bengaluru,Edtech,It helps students to learn math online,5500000.0,nan,2019
Licious,Bengaluru,Food,Online meat shop,25000000.0,Late Stage,2019
Nivesh.Com,Noida,Mutual Funds,The platform simplifies the process of investment,600000.0,Early Stage,2019
Zebu,London,Cybersecurity,Platform uses encryption technology to allow businesses to safely store files invoices and schedules,4000000.0,Early Stage,2019
Smart Institute,Surat,Edtech,A platform to learn online,1500000.0,nan,2019
Cardekho,Jaipur,Automobile,Enables people to buy and sell newold cars,70000000.0,Late Stage,2019
Shadowfax,Bengaluru,Logistics,A platform for delivery services,60000000.0,Late Stage,2019
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,6000000.0,nan,2019
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700 sports,0.0,Mid Stage,2019
Phable,Bengaluru,Healthtech,It creates an engagement loop between doctors hospitals and patients via its app,220000.0,nan,2019
Sarva,Chennai,Yoga & Wellness,It drives a cultural change in making yogabased wellness a part of modern lifestyle,2800000.0,nan,2019
Indyfint,Bengaluru,Virtual Banking,It helps lenders to directly provide shortterm loans to merchants employees and students,2100000.0,Mid Stage,2019
Zolostays,Bengaluru,Accomodation,It offers affordable housing apartments to young professionals and students,7000000.0,SaaS,2019
Ola,Bengaluru,Transportation,It enables one to book cab online,311000000.0,Late Stage,2019
Zoomcar,Bengaluru,Transport & Rentals,A car rental service platform,4800000.0,nan,2019
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,1000000.0,Other Stages,2019
Froogal,Hyderabad,Marketing & Customer Loyalty,A cloud based Customer Loyalty  Engagement Platform,1000000.0,Other Stages,2019
Infra.Market,Mumbai,Infratech,It connects client requirements to their supply chain infrastructure for ease of ordering tracking and manufacturing,20000000.0,Mid Stage,2019
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,693000000.0,Late Stage,2019
Gomechanic,New Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,5000000.0,Mid Stage,2019
Spinny,New Delhi,Automobile,Online car retailer,50000000.0,nan,2019
Ess Kay Fincorp,Rajasthan,Banking,Organised NonBanking Finance Company,33000000.0,Late Stage,2019
