Company,Location,Sector,About,Amount,Stage,Funding Year
Aqgromalin,Chennai,AgriTech,Cultivating Ideas for Profit,2425.47,Other Stages,2020
Krayonnz,Bengaluru,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,1212.73,Early Stage,2020
PadCare Labs,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,36382.05,Early Stage,2020
NCOME,New Delhi,Escrow,Escrow-as-a-service platform,4850.94,Mid Stage,2020
Gramophone,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,4123.3,Mid Stage,2020
qZense,Bengaluru,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,7276.41,Early Stage,2020
MyClassboard,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,7276.41,Other Stages,2020
Metvy,Gurugram,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,36382.05,Other Stages,2020
Rupeek,Bengaluru,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",545730.68,Mid Stage,2020
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,12127.35,Other Stages,2020
Slurrp Farm,Gurugram,Food & Bevarages,Slurrp Farm is a children health food brand.,24254.7,Mid Stage,2020
Medfin,Bengaluru,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,36382.05,Mid Stage,2020
MasterG,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,36382.05,Early Stage,2020
Brila 91,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,14552.82,Other Stages,2020
FoodyBuddy,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,7276.41,Other Stages,2020
Zomato,Gurugram,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,8004049.95,Other Stages,2020
OurEye.ai,Bengaluru,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",1455.28,Mid Stage,2020
Shiprocket,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,90955.11,Mid Stage,2020
Pine Labs,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,36382.05,Early Stage,2020
Moneyboxx Finance,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,12127.35,Other Stages,2020
EWar,Bengaluru,Gaming,EWar Games is a e-sports and real-time gaming start-up.,36382.05,Other Stages,2020
SucSEED Indovation,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",60636.74,Mid Stage,2020
TaxBuddy.com,Mumbai,FinTech,TaxBuddy for any tax related issues.,12127.35,Early Stage,2020
Awign Enterprises,Bengaluru,Work fulfillment,Operations and manpower outsourcing startup,6063.67,Mid Stage,2020
Circle of Angels,Gurugram,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,36382.05,Other Stages,2020
CoinDCX,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,121273.48,Mid Stage,2020
Glance,Bengaluru,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,1758465.52,Early Stage,2020
VerSe Innovation,Bengaluru,Telecommunication,Owner of Dailyhunt App and I-Pay,1212734.84,Early Stage,2020
Voosh,Bengaluru,Food Industry,Building India's largest digital food service brand,36382.05,Early Stage,2020
Delhivery,Gurugram,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,36382.05,Mid Stage,2020
Arya,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",254674.32,Mid Stage,2020
Pickrr,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,48509.39,Other Stages,2020
PhonePe,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,242546.97,Mid Stage,2020
Countingwell,Bengaluru,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",12127.35,Other Stages,2020
Callify.ai,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,6791.32,Early Stage,2020
Hudle,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,36382.05,Other Stages,2020
Cover it Up,Chennai,E-commerce,Online portal that churns out high quality products,4850.94,Early Stage,2020
BiteSpeed,Gurugram,E-commerce,Chat-based commerce for E-commerce brands,3335.02,Early Stage,2020
WakeFit,Bengaluru,Retail,Wakefitkart is a mattress manufacturing company,242546.97,Mid Stage,2020
Sreyas Holistic Remedies,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,12127.35,Early Stage,2020
Fleeca India,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,36382.05,Mid Stage,2020
M1xchange,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,54573.07,Mid Stage,2020
Exotel,Bengaluru,Cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,60636.74,Mid Stage,2020
PagarBook,Bengaluru,Software company,"Staff's Salary, Work & Attendance Management Application",181910.23,Mid Stage,2020
PointOne Capital,Bengaluru,Venture capitalist,Pre-seed/Seed focussed VC investor,36382.05,Early Stage,2020
