Company	Sector	Stage	Amount	Location	About	Funding Year
Thecollegefever	Brand Marketing	Early Stage	250000.0	Bengaluru	TheCollegeFever is a hub for fun fiesta and frolic of Colleges	2018
Happy Cow Dairy	Agriculture	Early Stage	584000.0	Mumbai	A startup which aggregates milk from dairy farmers in rural Maharashtra	2018
Myloancare	Credit	Mid Stage	949000.0	Gurugram	Leading Online Loans Marketplace in India	2018
Payme India	Financial Services	Other Stages	2000000.0	Noida	PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees	2018
Eunimart	E-Commerce Platforms	Early Stage	1300000.0	Hyderabad	Eunimart is a one stop solution for merchants to create a difference by selling globally	2018
Hasura	Cloud Infrastructure	Early Stage	1600000.0	Bengaluru	Hasura is a platform that allows developers to build deploy and host cloudnative applications quickly	2018
Tripshelf	Internet	Early Stage	233600.0	Kalkaji	Tripshelf is an online market place for holiday packages	2018
Hyperdata.Io	Market Research	Other Stages	730000.0	Hyderabad	Hyperdata combines advanced machine learning with human intelligence	2018
Freightwalla	Information Services	Early Stage	1300000.0	Mumbai	Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations	2018
Microchip Payments	Mobile Payments	Early Stage	1300000.0	Bengaluru	Microchip payments is a mobilebased payment application and pointofsale device	2018
Bizcrum Infotech Pvt. Ltd.	B2B	Early Stage	1300000.0	New Delhi	Building Transactionary B2B Marketplaces	2018
Emojifi	Internet	Early Stage	1300000.0	Bengaluru	Emojifi is an app that provides live emoji stickers  GIFs suggestions based on the typed words across chat platforms	2018
Flock	Apps	Early Stage	1300000.0	India	Flock is a realtime messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity	2018
Freshboxx	Food Delivery	Early Stage	1300000.0	Hubli	Freshboxx is incubated at Sandbox Startups a unit of the Deshpande Foundation	2018
Wide Mobility Mechatronics	Industrial Automation	Early Stage	1300000.0	Bengaluru	Wide Mobility Mechatronics is a Private Company limited by Shares	2018
Pitstop	Automotive	Early Stage	1460000.0	Bengaluru	Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles	2018
Mihuru	Finance	Early Stage	150000.0	Mumbai	Mihuru is an online platform which gives micro loans for air travel 	2018
Fyle	Accounting	Early Stage	1100000.0	Bengaluru	Fyle is an intelligent expense management platform for enterprises	2018
Appwharf	Artificial Intelligence	Early Stage	1300000.0	New Delhi	Appwharf is an intelligent assistant that helps find you the bestfit SaaS for your business	2018
Antariksh Waste Ventures Pvt Ltd	Internet Of Things	Early Stage	7300.0	Chennai	Waste Management for Smart Cities	2018
Cogoport	Air Transportation	Mid Stage	6000000.0	Mumbai	Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers	2018
Paisadukan	Financial Services	Early Stage	650000.0	Mumbai	A P2P lending marketplace platform	2018
Sleepy Owl Coffee	Food And Beverage	Early Stage	511000.0	New Delhi	Makers of a signature coffee thats exceptional in taste Its super easy to brew requires no equipment  ships to your door	2018
